Government Debt Securities Member	정부 채권 회원
Senior Notes Member	선순위 채권 회원
Convertible Notes Member	전환 사채 회원
Automotive Asset-Backed Notes Member	자동차 자산 담보부 채권 회원
Solar Asset-Backed Notes Member	태양광 자산 담보부 채권 회원
Credit Agreement Member	신용 계약 회원
Customer Advance Payments Member	고객 선불 회원
Litigation Case Axis	소송 사건 축
Consolidated Entities Axis	연결된 엔터티 축
Product or Service Axis	제품 또는 서비스 축
Geographical Axis	지리적 축
Range Axis	범위 축
Income Tax Authority Axis	소득세 당국 축
Award Type Axis	상 유형 축
Antidilutive Securities Excluded From Computation Of Earnings Per Share By Antidilutive Securities Axis	희석 방지 증권 축
Accounts, Notes, Loans and Financing Receivable By Receivable Type Axis	계정, 어음, 대출 및 금융 수취 유형 축
Tools, Dies and Molds Member	도구, 금형 및 몰드 회원
Construction In Progress Member	진행 중인 건설 회원
Leasehold Improvements Member	임차 개선 회원
Machinery, Equipment, Vehicles and Office Furniture Member	기계, 장비, 차량 및 사무용 가구 회원
Computer Equipment and Software Member	컴퓨터 장비 및 소프트웨어 회원
Land and Building Member	토지 및 건물 회원
Operating Lease Vehicles Member	운영 임대 차량 회원
Prepaid Expenses and Other Current Assets Member	선급 비용 및 기타 유동 자산 회원
Other Noncurrent Assets Member	기타 비유동 자산 회원
Variable Interest Entity Primary Beneficiary Member	가변적 이익 엔터티 주요 수혜자 회원
Digital Assets Member	디지털 자산 회원
Stock-Based Awards Member	주식 기반 보상 회원
Performance-Based Stock Option Member	성과 기반 주식 옵션 회원
Restricted Stock Units Awards Member	제한 주식 단위 보상 회원
